Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
386,Noah Sonko Sundberg,gm GAM,DF,Aris,29,1996,14,13,"1,125",12.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
387,Carles Soria,es ESP,DF,Volos N.F.C.,28,1996,21,20,"1,736",19.3,0,1,1,0,0,0,2,0,0,0.05,0.05,0,0.05,Matches
388,Vasileios Sourlis,gr GRE,MF,Larissa,22,2002,23,12,"1,063",11.8,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
389,Gerson Sousa,pt POR,MF,AE Kifisia,23,2002,28,14,"1,297",14.4,0,2,2,0,0,0,3,0,0,0.14,0.14,0,0.14,Matches
390,Hugo Sousa,pt POR,DF,AE Kifisia,33,1992,26,23,"2,031",22.6,1,0,1,1,0,0,7,1,0.04,0,0.04,0.04,0.04,Matches
391,Paschalis Staikos,gr GRE,MF,Larissa,29,1996,12,8,613,6.8,0,1,1,0,0,0,2,0,0,0.15,0.15,0,0.15,Matches
392,Nikola Stajić,rs SRB,DF,Panetolikos,23,2001,9,6,607,6.7,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
393,Dimitris Stavropoulos,gr GRE,DF,Atromitos,28,1997,34,34,"3,060",34,2,0,2,2,0,0,8,0,0.06,0,0.06,0.06,0.06,Matches
394,Thomas Strakosha,al ALB,GK,AEK Athens,30,1995,30,30,"2,700",30,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
395,Gabriel Strefezza,br BRA,MF,Olympiacos,28,1997,13,7,636,7.1,1,1,2,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches
396,Karol Świderski,pl POL,FW,Panathinaikos,28,1997,25,15,"1,305",14.5,5,1,6,3,2,3,4,0,0.34,0.07,0.41,0.21,0.28,Matches
